user_id,blanks,coments,language,cloc
edemo,29,1,Python,282
BNieuwenhuizen,24,2,C++,87
yarrr,11,3,java,68
Sharph,4,0,C++,128
Balajiganapathi,18,5,C++,126
JohnSmith,24,2,C++,88
tokoharu,32,22,C++,166
natsugiri,15,11,C++,73
AngryBacon,13,1,C++,91
hpmv,48,25,Python,318
Jonasz,2,0,C++,43
strapahuulius,25,13,C++,102
romanandreev,12,0,C++,113
netkuba,30,5,C++,273
devjoe,33,63,Python,165
tmt514,9,0,C++,77
AlvinChow,30,5,C#,273
krijgertje,17,0,C++,52
ogiekako,18,5,java,134
maciejk,12,0,C++,99
misof,11,0,C++,113
squahtx,24,2,C++,87
STEP5,29,22,C++,162
SeeBees,12,0,java,116
Soultaker,22,0,C++,92
fiver,56,4,C#,218
Binnie,11,3,Python,48
Sfairat,35,2,C++,141
Miceren,18,5,C++,126
otacon,9,0,Python,63
ashmelev,1,2,C++,29
YOBA,7,3,Python,66
vedg,25,13,C++,102
TankEngineer,7,0,C++,71
csegura,32,22,C++,166
royf,24,2,Python,81
l521530,4,0,C++,46
dreamoon,8,0,C++,83
mikhailOK,12,0,java,99
barryd,5,8,Python,101
abryant,23,2,java,91
vlada,3,0,Python,37
Lukasz16a,47,25,C++,309
tkociumaka,12,0,C++,116
Tenyoku,10,0,C++,74
chEEtah,18,5,C++,134
doudouille,16,0,C++,178
Xhark,60,25,C++,193
nirhershko,28,0,Python,123
pieguy,23,2,C++,91
gojira,12,0,C++,113
Maryann,22,0,C#,92
watashi,16,7,C++,71
olalia,28,0,C++,123
cgy4ever,9,3,C++,53
bmerry,7,0,C++,71
davidv,8,3,C++,53
Snuke,29,1,C++,276
paulliu,25,22,java,189
CatalinT,10,0,C++,74
Huziwara,9,0,C++,77
SnapDragon,18,3,C++,80
kyuridenamida,2,0,C++,43
surwdkgo,19,6,C++,153
radeye,31,40,C++,203
vot,11,0,java,113
Griffon,19,0,java,92
sohelH,7,17,C++,360
GGed,24,2,C++,88
indifferent,7,17,C#,360
Tellmarch,14,11,java,73
woodpecker112358,33,47,C++,181
Fcdkbear,16,9,C++,71
KennyHORROR,11,3,C++,68
jkud,16,6,Python,179
jxwuyi,22,5,C++,146
mugurelionut,4,0,C++,46
SmartSchizo,17,0,C++,52
kennyChiu,15,3,C++,101
tanakh,14,0,C++,113
d6d0d1a8,1,4,C++,60
dolphinigle,4,0,C++,128
Alexander86,19,0,C++,92
ryuuga,28,16,Python,114
meret,25,22,C++,189
pivizz,60,25,C#,193
