2437488,2751486,2749486,2755486
1645485,1673486,1482494,1480492
2418487,2464487,2645486,2652486
2984486,5634947029139456,5766201229705216,5752104073297920
2994486,5751500831719424,5658282861527040,5731331665297408
11254486,5648941810974720,5695413893988352,5686313294495744
2270488,2453486,2449486,2463486,2458486
1781488,1674486,1482492,1485490
6224486,5639104758808576,5686275109552128,5670465267826688,5658571765186560
8224486,5688567749672960,5769900270288896,5662291475300352
1460488,1483485,1595491,1483488,1285485
2974486,5756407898963968,5709773144064000,5690574640250880,5644738749267968
6254486,5652388522229760,5634697451274240,5738606668808192,5636311922769920
2434486,2692487,2700486,2705486
1836486,1480487,1485488,1484496
4244486,5640146288377856,5708284669460480,5646553574277120
4224486,6404600001200128,5765824346324992,6377668744314880
3004486,5706278382862336,5669245564223488,5658068650033152
4304486,5631989306621952,5630113748090880,5631572862566400
4314486,5753053697277952,5744014401732608,5708921029263360
