,letter,name,p_id
0,A,Diamond Inheritance,1674486
1,B,Out of Gas,1482492
2,C,Box Factory,1485490
3,A,Safety in Numbers,1480487
4,B,"Tide Goes In, Tide Goes Out",1485488
5,C,Equal Sums,1484496
6,A,Password Problem,1673486
7,B,Kingdom Rush,1482494
8,C,Cruise Control,1480492
9,A,Speaking in Tongues,1483485
10,B,Dancing With the Googlers,1595491
11,C,Recycled Numbers,1483488
12,D,Hall of Mirrors,1285485
13,A,Consonants,2751486
14,B,Pogo,2749486
15,C,The Great Wall,2755486
16,A,Osmos,2692487
17,B,Falling Diamonds,2700486
18,C,Garbled Email,2705486
19,A,Bullseye,2464487
20,B,Manage your Energy,2645486
21,C,Good Luck,2652486
22,A,Tic-Tac-Toe-Tomek,2453486
23,B,Lawnmower,2449486
24,C,Fair and Square,2463486
25,D,Treasure,2458486
26,A,Part Elf,5706278382862336
27,B,Reordering Train Cars,5669245564223488
28,C,Enclosure,5658068650033152
29,A,The Repeater,5751500831719424
30,B,New Lottery Game,5658282861527040
31,C,The Bored Traveling Salesman,5731331665297408
32,A,Charging Chaos,5634947029139456
33,B,Full Binary Tree,5766201229705216
34,C,Proper Shuffle,5752104073297920
35,A,Magic Trick,5756407898963968
36,B,Cookie Clicker Alpha,5709773144064000
37,C,Minesweeper Master,5690574640250880
38,D,Deceitful War,5644738749267968
39,A,Brattleship,5640146288377856
40,B,Typewriter Monkey,5708284669460480
41,C,"Less Money, More Problems",5646553574277120
42,A,Counter Culture,5688567749672960
43,B,Noisy Neighbors,5769900270288896
44,C,Hiking Deer,5662291475300352
45,A,Mushroom Monster,6404600001200128
46,B,Haircut,5765824346324992
47,C,Logging,6377668744314880
48,A,Standing Ovation,5639104758808576
49,B,Infinite House of Pancakes,5686275109552128
50,C,Dijkstra,5670465267826688
51,D,Ominous Omino,5658571765186560
52,A,Senate Evacuation,5753053697277952
53,B,Slides!,5744014401732608
54,C,Fashion Police,5708921029263360
55,A,Getting the Digits,5648941810974720
56,B,Close Match,5695413893988352
57,C,Technobabble,5686313294495744
58,A,The Last Word,5631989306621952
59,B,Rank and File,5630113748090880
60,C,BFFs,5631572862566400
61,A,Counting Sheep,5652388522229760
62,B,Revenge of the Pancakes,5634697451274240
63,C,Coin Jam,5738606668808192
64,D,Fractiles,5636311922769920
